client_id,risk_score,risk_level,recommended_action
67,0.9987165,Critical,Compliance team intervention
68,0.99682045,Critical,Compliance team intervention
69,0.0024190787,Low Risk,No action required
70,0.0031811194,Low Risk,No action required
71,0.9959985,Critical,Compliance team intervention
72,0.0019948427,Low Risk,No action required
73,0.0026041847,Low Risk,No action required
74,0.004156895,Low Risk,No action required
75,0.99853337,Critical,Compliance team intervention
76,0.99786997,Critical,Compliance team intervention
77,0.9984794,Critical,Compliance team intervention
78,0.9973794,Critical,Compliance team intervention
79,0.99498415,Critical,Compliance team intervention
80,0.0031238045,Low Risk,No action required
81,0.99704784,Critical,Compliance team intervention
82,0.9988158,Critical,Compliance team intervention
83,0.9931925,Critical,Compliance team intervention
84,0.0018432585,Low Risk,No action required
85,0.002461905,Low Risk,No action required
86,0.002939236,Low Risk,No action required
87,0.9953159,Critical,Compliance team intervention
88,0.99788195,Critical,Compliance team intervention
89,0.002204321,Low Risk,No action required
90,0.99045146,Critical,Compliance team intervention
91,0.0018410762,Low Risk,No action required
92,0.99344677,Critical,Compliance team intervention
93,0.007984085,Low Risk,No action required
94,0.9995902,Critical,Compliance team intervention
95,0.9985846,Critical,Compliance team intervention
96,0.0070560165,Low Risk,No action required
97,0.99821943,Critical,Compliance team intervention
98,0.003485388,Low Risk,No action required
99,0.9981756,Critical,Compliance team intervention
100,0.0018595761,Low Risk,No action required
101,0.007361859,Low Risk,No action required
102,0.002654655,Low Risk,No action required
103,0.9977992,Critical,Compliance team intervention
104,0.0033057167,Low Risk,No action required
105,0.999275,Critical,Compliance team intervention
106,0.9983359,Critical,Compliance team intervention
107,0.0070808018,Low Risk,No action required
108,0.9984692,Critical,Compliance team intervention
109,0.99757844,Critical,Compliance team intervention
110,0.99822956,Critical,Compliance team intervention
111,0.0025040647,Low Risk,No action required
112,0.9970522,Critical,Compliance team intervention
113,0.9989197,Critical,Compliance team intervention
114,0.001944222,Low Risk,No action required
115,0.99756396,Critical,Compliance team intervention
116,0.99879396,Critical,Compliance team intervention
117,0.9996835,Critical,Compliance team intervention
118,0.996549,Critical,Compliance team intervention
119,0.0035791986,Low Risk,No action required
120,0.0051294537,Low Risk,No action required
121,0.9939605,Critical,Compliance team intervention
122,0.998321,Critical,Compliance team intervention
123,0.99550605,Critical,Compliance team intervention
124,0.005351638,Low Risk,No action required
125,0.9970843,Critical,Compliance team intervention
126,0.0025949194,Low Risk,No action required
127,0.9926658,Critical,Compliance team intervention
128,0.9933462,Critical,Compliance team intervention
129,0.0027198028,Low Risk,No action required
130,0.9988336,Critical,Compliance team intervention
131,0.9985201,Critical,Compliance team intervention
132,0.0034318522,Low Risk,No action required
133,0.001604656,Low Risk,No action required
134,0.006110638,Low Risk,No action required
135,0.0035428957,Low Risk,No action required
136,0.99803704,Critical,Compliance team intervention
137,0.99654704,Critical,Compliance team intervention
138,0.99859625,Critical,Compliance team intervention
139,0.0017699829,Low Risk,No action required
140,0.9915964,Critical,Compliance team intervention
141,0.0021697145,Low Risk,No action required
142,0.0018918837,Low Risk,No action required
143,0.0031058963,Low Risk,No action required
144,0.9984641,Critical,Compliance team intervention
145,0.9984824,Critical,Compliance team intervention
146,0.9938257,Critical,Compliance team intervention
147,0.9987733,Critical,Compliance team intervention
148,0.99748945,Critical,Compliance team intervention
149,0.004969516,Low Risk,No action required
150,0.9904407,Critical,Compliance team intervention
151,0.99600667,Critical,Compliance team intervention
152,0.003881317,Low Risk,No action required
153,0.9988727,Critical,Compliance team intervention
154,0.99933964,Critical,Compliance team intervention
155,0.004574496,Low Risk,No action required
156,0.0017119967,Low Risk,No action required
157,0.9977003,Critical,Compliance team intervention
158,0.0059539215,Low Risk,No action required
159,0.0028354295,Low Risk,No action required
160,0.9942331,Critical,Compliance team intervention
161,0.003986937,Low Risk,No action required
162,0.9969428,Critical,Compliance team intervention
163,0.0018356574,Low Risk,No action required
164,0.99970883,Critical,Compliance team intervention
165,0.9954007,Critical,Compliance team intervention
166,0.0060326303,Low Risk,No action required
167,0.003668326,Low Risk,No action required
168,0.9984971,Critical,Compliance team intervention
169,0.9977475,Critical,Compliance team intervention
170,0.005649765,Low Risk,No action required
171,0.005017916,Low Risk,No action required
172,0.003188904,Low Risk,No action required
173,0.99734807,Critical,Compliance team intervention
174,0.0033144257,Low Risk,No action required
175,0.004381473,Low Risk,No action required
176,0.006795916,Low Risk,No action required
177,0.99782264,Critical,Compliance team intervention
178,0.0030911362,Low Risk,No action required
179,0.9937475,Critical,Compliance team intervention
180,0.008111397,Low Risk,No action required
181,0.9938366,Critical,Compliance team intervention
182,0.0034574314,Low Risk,No action required
183,0.0023556366,Low Risk,No action required
184,0.006596833,Low Risk,No action required
185,0.9890491,Critical,Compliance team intervention
186,0.003761109,Low Risk,No action required
187,0.0030492626,Low Risk,No action required
188,0.0013656957,Low Risk,No action required
189,0.9985293,Critical,Compliance team intervention
190,0.0024022507,Low Risk,No action required
191,0.004080924,Low Risk,No action required
192,0.0043851878,Low Risk,No action required
193,0.0028766557,Low Risk,No action required
194,0.9933962,Critical,Compliance team intervention
195,0.9986338,Critical,Compliance team intervention
196,0.9985411,Critical,Compliance team intervention
197,0.006578531,Low Risk,No action required
198,0.9915018,Critical,Compliance team intervention
199,0.9981772,Critical,Compliance team intervention
200,0.0023607374,Low Risk,No action required
201,0.0037903558,Low Risk,No action required
202,0.005514279,Low Risk,No action required
203,0.99855644,Critical,Compliance team intervention
204,0.99937624,Critical,Compliance team intervention
205,0.9985013,Critical,Compliance team intervention
206,0.0019437965,Low Risk,No action required
207,0.0019292231,Low Risk,No action required
208,0.99667066,Critical,Compliance team intervention
209,0.9992207,Critical,Compliance team intervention
210,0.003741103,Low Risk,No action required
211,0.001964941,Low Risk,No action required
212,0.9951096,Critical,Compliance team intervention
213,0.9973042,Critical,Compliance team intervention
214,0.0045079286,Low Risk,No action required
215,0.9970522,Critical,Compliance team intervention
216,0.0017108097,Low Risk,No action required
217,0.99737227,Critical,Compliance team intervention
218,0.0016585158,Low Risk,No action required
219,0.99810493,Critical,Compliance team intervention
220,0.0032490985,Low Risk,No action required
221,0.003407347,Low Risk,No action required
222,0.004908507,Low Risk,No action required
223,0.007787622,Low Risk,No action required
224,0.0044247448,Low Risk,No action required
225,0.005908486,Low Risk,No action required
226,0.9978987,Critical,Compliance team intervention
227,0.0026346194,Low Risk,No action required
228,0.0026588165,Low Risk,No action required
229,0.0041111005,Low Risk,No action required
230,0.0025201677,Low Risk,No action required
231,0.9929507,Critical,Compliance team intervention
232,0.0071368064,Low Risk,No action required
233,0.99381083,Critical,Compliance team intervention
234,0.99651295,Critical,Compliance team intervention
235,0.99496126,Critical,Compliance team intervention
236,0.97948235,Critical,Compliance team intervention
237,0.99842775,Critical,Compliance team intervention
238,0.9984573,Critical,Compliance team intervention
239,0.004856302,Low Risk,No action required
240,0.0020817698,Low Risk,No action required
241,0.0009796167,Low Risk,No action required
242,0.99543947,Critical,Compliance team intervention
243,0.006584919,Low Risk,No action required
244,0.0022463985,Low Risk,No action required
245,0.0036004626,Low Risk,No action required
246,0.003188904,Low Risk,No action required
247,0.99850154,Critical,Compliance team intervention
248,0.99905854,Critical,Compliance team intervention
249,0.0016150146,Low Risk,No action required
250,0.0071534324,Low Risk,No action required
251,0.0022493342,Low Risk,No action required
252,0.9975694,Critical,Compliance team intervention
253,0.989131,Critical,Compliance team intervention
254,0.9982249,Critical,Compliance team intervention
255,0.9959699,Critical,Compliance team intervention
256,0.0038882592,Low Risk,No action required
257,0.99805295,Critical,Compliance team intervention
258,0.99268484,Critical,Compliance team intervention
259,0.0019916669,Low Risk,No action required
260,0.007920919,Low Risk,No action required
261,0.004255868,Low Risk,No action required
262,0.9987249,Critical,Compliance team intervention
263,0.9977963,Critical,Compliance team intervention
264,0.0018190407,Low Risk,No action required
265,0.0023307998,Low Risk,No action required
266,0.9979693,Critical,Compliance team intervention
267,0.99133587,Critical,Compliance team intervention
268,0.0028527009,Low Risk,No action required
269,0.0018059856,Low Risk,No action required
270,0.0032183973,Low Risk,No action required
271,0.9977513,Critical,Compliance team intervention
272,0.0054174573,Low Risk,No action required
273,0.0024668342,Low Risk,No action required
274,0.009327538,Low Risk,No action required
275,0.0033592721,Low Risk,No action required
276,0.007883208,Low Risk,No action required
277,0.0040133283,Low Risk,No action required
278,0.005592656,Low Risk,No action required
279,0.99544454,Critical,Compliance team intervention
280,0.004295599,Low Risk,No action required
281,0.99810326,Critical,Compliance team intervention
282,0.003187963,Low Risk,No action required
283,0.0020581482,Low Risk,No action required
284,0.0020851693,Low Risk,No action required
285,0.99802905,Critical,Compliance team intervention
286,0.9983954,Critical,Compliance team intervention
287,0.001991265,Low Risk,No action required
288,0.99699557,Critical,Compliance team intervention
289,0.0019076974,Low Risk,No action required
290,0.0046684383,Low Risk,No action required
291,0.0015991689,Low Risk,No action required
292,0.0042165006,Low Risk,No action required
293,0.9981772,Critical,Compliance team intervention
294,0.0038481385,Low Risk,No action required
295,0.9985045,Critical,Compliance team intervention
296,0.0024526266,Low Risk,No action required
297,0.9963052,Critical,Compliance team intervention
298,0.997224,Critical,Compliance team intervention
299,0.99654394,Critical,Compliance team intervention
300,0.99796,Critical,Compliance team intervention
301,0.99518126,Critical,Compliance team intervention
302,0.9916978,Critical,Compliance team intervention
303,0.004336885,Low Risk,No action required
304,0.0038598545,Low Risk,No action required
305,0.0028413907,Low Risk,No action required
306,0.9933774,Critical,Compliance team intervention
307,0.003691692,Low Risk,No action required
308,0.99811053,Critical,Compliance team intervention
309,0.9956149,Critical,Compliance team intervention
310,0.9994505,Critical,Compliance team intervention
311,0.0028047466,Low Risk,No action required
312,0.0038757774,Low Risk,No action required
313,0.99388134,Critical,Compliance team intervention
314,0.9978192,Critical,Compliance team intervention
315,0.9988876,Critical,Compliance team intervention
316,0.99807715,Critical,Compliance team intervention
317,0.0026618834,Low Risk,No action required
318,0.0018771404,Low Risk,No action required
319,0.9984553,Critical,Compliance team intervention
320,0.0053921654,Low Risk,No action required
321,0.998116,Critical,Compliance team intervention
322,0.003849217,Low Risk,No action required
323,0.9988201,Critical,Compliance team intervention
324,0.002333053,Low Risk,No action required
325,0.9985038,Critical,Compliance team intervention
326,0.99858034,Critical,Compliance team intervention
327,0.0026449503,Low Risk,No action required
328,0.0015526371,Low Risk,No action required
329,0.9982199,Critical,Compliance team intervention
330,0.9978951,Critical,Compliance team intervention
331,0.99455786,Critical,Compliance team intervention
332,0.002019235,Low Risk,No action required
333,0.9982551,Critical,Compliance team intervention
334,0.9978942,Critical,Compliance team intervention
335,0.003047512,Low Risk,No action required
336,0.97877824,Critical,Compliance team intervention
337,0.0015991689,Low Risk,No action required
338,0.001369225,Low Risk,No action required
339,0.99878615,Critical,Compliance team intervention
340,0.0020440212,Low Risk,No action required
341,0.9960163,Critical,Compliance team intervention
342,0.0018244105,Low Risk,No action required
343,0.99667966,Critical,Compliance team intervention
344,0.9967519,Critical,Compliance team intervention
345,0.0038357635,Low Risk,No action required
346,0.0012675064,Low Risk,No action required
347,0.99819595,Critical,Compliance team intervention
348,0.0029380803,Low Risk,No action required
349,0.0024306388,Low Risk,No action required
350,0.99680746,Critical,Compliance team intervention
351,0.99960953,Critical,Compliance team intervention
352,0.0040133283,Low Risk,No action required
353,0.0028235053,Low Risk,No action required
354,0.998061,Critical,Compliance team intervention
355,0.006810579,Low Risk,No action required
356,0.9929507,Critical,Compliance team intervention
357,0.0068480833,Low Risk,No action required
358,0.99844956,Critical,Compliance team intervention
359,0.002643856,Low Risk,No action required
360,0.0023802335,Low Risk,No action required
361,0.9960691,Critical,Compliance team intervention
362,0.003988175,Low Risk,No action required
363,0.9953874,Critical,Compliance team intervention
364,0.9977822,Critical,Compliance team intervention
365,0.9971591,Critical,Compliance team intervention
366,0.9989343,Critical,Compliance team intervention
367,0.9967217,Critical,Compliance team intervention
368,0.0022596053,Low Risk,No action required
369,0.9966785,Critical,Compliance team intervention
370,0.99639386,Critical,Compliance team intervention
371,0.0034177254,Low Risk,No action required
372,0.0018538418,Low Risk,No action required
373,0.0026588165,Low Risk,No action required
374,0.998847,Critical,Compliance team intervention
375,0.0055600214,Low Risk,No action required
376,0.0047552944,Low Risk,No action required
377,0.99593335,Critical,Compliance team intervention
378,0.002281101,Low Risk,No action required
379,0.9946367,Critical,Compliance team intervention
380,0.99814045,Critical,Compliance team intervention
381,0.002126098,Low Risk,No action required
382,0.9979705,Critical,Compliance team intervention
383,0.9987502,Critical,Compliance team intervention
384,0.006687635,Low Risk,No action required
385,0.99882334,Critical,Compliance team intervention
386,0.0017539598,Low Risk,No action required
387,0.99819595,Critical,Compliance team intervention
388,0.9985025,Critical,Compliance team intervention
389,0.0034177254,Low Risk,No action required
390,0.00421572,Low Risk,No action required
391,0.9972807,Critical,Compliance team intervention
392,0.9969561,Critical,Compliance team intervention
393,0.0039569293,Low Risk,No action required
394,0.9982237,Critical,Compliance team intervention
395,0.0028353147,Low Risk,No action required
396,0.9979746,Critical,Compliance team intervention
397,0.0024306388,Low Risk,No action required
398,0.9961577,Critical,Compliance team intervention
399,0.9968454,Critical,Compliance team intervention
400,0.0023089116,Low Risk,No action required
401,0.99874264,Critical,Compliance team intervention
402,0.99854124,Critical,Compliance team intervention
403,0.99852824,Critical,Compliance team intervention
404,0.0028118491,Low Risk,No action required
405,0.9826942,Critical,Compliance team intervention
406,0.9972621,Critical,Compliance team intervention
407,0.0020628201,Low Risk,No action required
408,0.0024185153,Low Risk,No action required
409,0.0027768868,Low Risk,No action required
410,0.99811745,Critical,Compliance team intervention
411,0.996926,Critical,Compliance team intervention
412,0.0018244105,Low Risk,No action required
413,0.9981772,Critical,Compliance team intervention
414,0.00425815,Low Risk,No action required
415,0.008531289,Low Risk,No action required
416,0.0014212291,Low Risk,No action required
417,0.9943487,Critical,Compliance team intervention
418,0.99963355,Critical,Compliance team intervention
419,0.99883944,Critical,Compliance team intervention
420,0.99790263,Critical,Compliance team intervention
421,0.002162994,Low Risk,No action required
422,0.9983919,Critical,Compliance team intervention
423,0.9978399,Critical,Compliance team intervention
424,0.004297741,Low Risk,No action required
425,0.009596918,Low Risk,No action required
426,0.004079304,Low Risk,No action required
427,0.0028715406,Low Risk,No action required
428,0.9984414,Critical,Compliance team intervention
429,0.002783951,Low Risk,No action required
430,0.9946662,Critical,Compliance team intervention
431,0.007047813,Low Risk,No action required
432,0.0022382385,Low Risk,No action required
433,0.0016634125,Low Risk,No action required
434,0.006511281,Low Risk,No action required
435,0.99498415,Critical,Compliance team intervention
436,0.997601,Critical,Compliance team intervention
437,0.9980388,Critical,Compliance team intervention
438,0.008946246,Low Risk,No action required
439,0.99850225,Critical,Compliance team intervention
440,0.0032457598,Low Risk,No action required
441,0.997584,Critical,Compliance team intervention
442,0.00409895,Low Risk,No action required
443,0.99586225,Critical,Compliance team intervention
444,0.0053290525,Low Risk,No action required
445,0.0017184893,Low Risk,No action required
446,0.002152834,Low Risk,No action required
447,0.9929173,Critical,Compliance team intervention
448,0.00253569,Low Risk,No action required
449,0.0018323673,Low Risk,No action required
450,0.0013821331,Low Risk,No action required
451,0.99555063,Critical,Compliance team intervention
452,0.0025247002,Low Risk,No action required
453,0.99145484,Critical,Compliance team intervention
454,0.9960943,Critical,Compliance team intervention
455,0.9983859,Critical,Compliance team intervention
456,0.0023112833,Low Risk,No action required
457,0.0029671534,Low Risk,No action required
458,0.0036552,Low Risk,No action required
459,0.003391098,Low Risk,No action required
460,0.9978077,Critical,Compliance team intervention
461,0.0048403973,Low Risk,No action required
462,0.007316431,Low Risk,No action required
463,0.0069449595,Low Risk,No action required
464,0.99823356,Critical,Compliance team intervention
465,0.0019559565,Low Risk,No action required
466,0.99804175,Critical,Compliance team intervention
467,0.9879942,Critical,Compliance team intervention
468,0.002260202,Low Risk,No action required
469,0.9963223,Critical,Compliance team intervention
470,0.99688053,Critical,Compliance team intervention
471,0.9982691,Critical,Compliance team intervention
472,0.9946202,Critical,Compliance team intervention
473,0.9872887,Critical,Compliance team intervention
474,0.99897563,Critical,Compliance team intervention
475,0.0029671534,Low Risk,No action required
476,0.999138,Critical,Compliance team intervention
477,0.0033205668,Low Risk,No action required
478,0.9983456,Critical,Compliance team intervention
479,0.0015991689,Low Risk,No action required
480,0.004079304,Low Risk,No action required
481,0.99406886,Critical,Compliance team intervention
482,0.0017114409,Low Risk,No action required
483,0.993985,Critical,Compliance team intervention
484,0.9985545,Critical,Compliance team intervention
485,0.9936673,Critical,Compliance team intervention
486,0.0020423108,Low Risk,No action required
487,0.99507624,Critical,Compliance team intervention
488,0.0020202615,Low Risk,No action required
489,0.0016634125,Low Risk,No action required
490,0.0019495339,Low Risk,No action required
491,0.99822897,Critical,Compliance team intervention
492,0.9993781,Critical,Compliance team intervention
493,0.0021518131,Low Risk,No action required
494,0.9967229,Critical,Compliance team intervention
495,0.9981201,Critical,Compliance team intervention
496,0.002907371,Low Risk,No action required
497,0.003173366,Low Risk,No action required
498,0.0024676237,Low Risk,No action required
499,0.008214641,Low Risk,No action required
500,0.957148,Critical,Compliance team intervention
501,0.002019235,Low Risk,No action required
502,0.005239992,Low Risk,No action required
503,0.004381473,Low Risk,No action required
504,0.0052652485,Low Risk,No action required
505,0.0044390196,Low Risk,No action required
506,0.9971591,Critical,Compliance team intervention
507,0.002725654,Low Risk,No action required
508,0.9988619,Critical,Compliance team intervention
509,0.9969278,Critical,Compliance team intervention
510,0.007602731,Low Risk,No action required
511,0.0050199707,Low Risk,No action required
512,0.006287488,Low Risk,No action required
513,0.0019725647,Low Risk,No action required
514,0.002762238,Low Risk,No action required
515,0.0021265512,Low Risk,No action required
516,0.0018244105,Low Risk,No action required
517,0.9925092,Critical,Compliance team intervention
518,0.9975623,Critical,Compliance team intervention
519,0.0026795862,Low Risk,No action required
520,0.99684167,Critical,Compliance team intervention
521,0.0017875179,Low Risk,No action required
522,0.0021915045,Low Risk,No action required
523,0.9983742,Critical,Compliance team intervention
524,0.0031324003,Low Risk,No action required
525,0.998061,Critical,Compliance team intervention
526,0.0018823041,Low Risk,No action required
527,0.9980446,Critical,Compliance team intervention
528,0.0031009836,Low Risk,No action required
529,0.9732607,Critical,Compliance team intervention
530,0.002041895,Low Risk,No action required
531,0.0021884139,Low Risk,No action required
532,0.99803704,Critical,Compliance team intervention
533,0.99857605,Critical,Compliance team intervention
534,0.99763286,Critical,Compliance team intervention
535,0.006772724,Low Risk,No action required
536,0.0023544647,Low Risk,No action required
537,0.0023069803,Low Risk,No action required
538,0.9961682,Critical,Compliance team intervention
539,0.9980111,Critical,Compliance team intervention
540,0.0025631934,Low Risk,No action required
541,0.9888713,Critical,Compliance team intervention
542,0.9928046,Critical,Compliance team intervention
543,0.002716556,Low Risk,No action required
544,0.0033795212,Low Risk,No action required
545,0.9981041,Critical,Compliance team intervention
546,0.0026419857,Low Risk,No action required
547,0.9987198,Critical,Compliance team intervention
548,0.9982829,Critical,Compliance team intervention
549,0.9925041,Critical,Compliance team intervention
550,0.004232584,Low Risk,No action required
551,0.99811304,Critical,Compliance team intervention
552,0.98966205,Critical,Compliance team intervention
553,0.9975405,Critical,Compliance team intervention
554,0.0044247448,Low Risk,No action required
555,0.998064,Critical,Compliance team intervention
556,0.9988814,Critical,Compliance team intervention
557,0.0019899749,Low Risk,No action required
558,0.9981812,Critical,Compliance team intervention
559,0.008717073,Low Risk,No action required
560,0.99708825,Critical,Compliance team intervention
561,0.9874479,Critical,Compliance team intervention
562,0.997456,Critical,Compliance team intervention
563,0.9972639,Critical,Compliance team intervention
564,0.0058111567,Low Risk,No action required
565,0.003850413,Low Risk,No action required
566,0.0029671534,Low Risk,No action required
567,0.0014763493,Low Risk,No action required
568,0.0069748377,Low Risk,No action required
569,0.99750227,Critical,Compliance team intervention
570,0.002216262,Low Risk,No action required
571,0.0040332284,Low Risk,No action required
572,0.005655158,Low Risk,No action required
573,0.0021464997,Low Risk,No action required
574,0.0018850232,Low Risk,No action required
575,0.9986436,Critical,Compliance team intervention
576,0.0031461378,Low Risk,No action required
577,0.0025340563,Low Risk,No action required
578,0.0035280436,Low Risk,No action required
579,0.0026654722,Low Risk,No action required
580,0.004253761,Low Risk,No action required
581,0.99784315,Critical,Compliance team intervention
582,0.9982768,Critical,Compliance team intervention
583,0.99649954,Critical,Compliance team intervention
584,0.0024392598,Low Risk,No action required
585,0.9996094,Critical,Compliance team intervention
586,0.002471077,Low Risk,No action required
587,0.9951899,Critical,Compliance team intervention
588,0.0018984211,Low Risk,No action required
589,0.004025838,Low Risk,No action required
590,0.004484679,Low Risk,No action required
591,0.0032041827,Low Risk,No action required
592,0.9973616,Critical,Compliance team intervention
593,0.0020682684,Low Risk,No action required
594,0.0039959583,Low Risk,No action required
595,0.9973507,Critical,Compliance team intervention
596,0.9942846,Critical,Compliance team intervention
597,0.9929234,Critical,Compliance team intervention
598,0.9991059,Critical,Compliance team intervention
599,0.0032556774,Low Risk,No action required
600,0.0026793722,Low Risk,No action required
601,0.99534947,Critical,Compliance team intervention
602,0.0063847867,Low Risk,No action required
603,0.0027686052,Low Risk,No action required
604,0.0029380803,Low Risk,No action required
605,0.9982014,Critical,Compliance team intervention
606,0.98042864,Critical,Compliance team intervention
607,0.0069301073,Low Risk,No action required
608,0.998237,Critical,Compliance team intervention
609,0.002787367,Low Risk,No action required
610,0.9972295,Critical,Compliance team intervention
611,0.9982881,Critical,Compliance team intervention
612,0.9979361,Critical,Compliance team intervention
613,0.0020698858,Low Risk,No action required
614,0.0018244105,Low Risk,No action required
615,0.0029860993,Low Risk,No action required
616,0.0025859172,Low Risk,No action required
617,0.9985669,Critical,Compliance team intervention
618,0.0020231004,Low Risk,No action required
619,0.9909992,Critical,Compliance team intervention
620,0.99880505,Critical,Compliance team intervention
621,0.9971054,Critical,Compliance team intervention
622,0.9980952,Critical,Compliance team intervention
623,0.990017,Critical,Compliance team intervention
624,0.9980153,Critical,Compliance team intervention
625,0.004766103,Low Risk,No action required
626,0.99826765,Critical,Compliance team intervention
627,0.9979831,Critical,Compliance team intervention
628,0.0023077752,Low Risk,No action required
629,0.003714135,Low Risk,No action required
630,0.0028799868,Low Risk,No action required
631,0.0023795995,Low Risk,No action required
632,0.0052652485,Low Risk,No action required
633,0.9982791,Critical,Compliance team intervention
634,0.9811621,Critical,Compliance team intervention
635,0.0068785343,Low Risk,No action required
636,0.9985071,Critical,Compliance team intervention
637,0.9984315,Critical,Compliance team intervention
638,0.003971734,Low Risk,No action required
639,0.0031058963,Low Risk,No action required
640,0.0016150146,Low Risk,No action required
641,0.0017336675,Low Risk,No action required
642,0.9981324,Critical,Compliance team intervention
643,0.0010109715,Low Risk,No action required
644,0.0030269355,Low Risk,No action required
645,0.9975775,Critical,Compliance team intervention
646,0.9984856,Critical,Compliance team intervention
647,0.00524174,Low Risk,No action required
648,0.9975737,Critical,Compliance team intervention
649,0.99855405,Critical,Compliance team intervention
650,0.99855787,Critical,Compliance team intervention
651,0.0044733207,Low Risk,No action required
652,0.9899233,Critical,Compliance team intervention
653,0.0033807084,Low Risk,No action required
654,0.99388134,Critical,Compliance team intervention
655,0.9940116,Critical,Compliance team intervention
656,0.9986369,Critical,Compliance team intervention
657,0.99810237,Critical,Compliance team intervention
658,0.99211746,Critical,Compliance team intervention
659,0.9976701,Critical,Compliance team intervention
660,0.0017539598,Low Risk,No action required
661,0.9995603,Critical,Compliance team intervention
662,0.0021066163,Low Risk,No action required
663,0.99842334,Critical,Compliance team intervention
664,0.9936673,Critical,Compliance team intervention
665,0.9970788,Critical,Compliance team intervention
666,0.0070040934,Low Risk,No action required
667,0.0038621638,Low Risk,No action required
668,0.99378765,Critical,Compliance team intervention
669,0.9982408,Critical,Compliance team intervention
670,0.0038481385,Low Risk,No action required
671,0.99837744,Critical,Compliance team intervention
672,0.0025206232,Low Risk,No action required
673,0.99393433,Critical,Compliance team intervention
674,0.9972658,Critical,Compliance team intervention
675,0.9984189,Critical,Compliance team intervention
676,0.99133587,Critical,Compliance team intervention
677,0.0031811194,Low Risk,No action required
678,0.0020374418,Low Risk,No action required
679,0.009443053,Low Risk,No action required
680,0.004122404,Low Risk,No action required
681,0.004422823,Low Risk,No action required
682,0.0020127574,Low Risk,No action required
683,0.9973864,Critical,Compliance team intervention
684,0.009294544,Low Risk,No action required
685,0.0053796107,Low Risk,No action required
686,0.0018368504,Low Risk,No action required
687,0.0018984211,Low Risk,No action required
688,0.002131582,Low Risk,No action required
689,0.0069301073,Low Risk,No action required
690,0.9975516,Critical,Compliance team intervention
691,0.98774683,Critical,Compliance team intervention
692,0.0037151957,Low Risk,No action required
693,0.99267817,Critical,Compliance team intervention
694,0.9976279,Critical,Compliance team intervention
695,0.9985796,Critical,Compliance team intervention
696,0.004706786,Low Risk,No action required
697,0.0016495608,Low Risk,No action required
698,0.009089241,Low Risk,No action required
699,0.0022635316,Low Risk,No action required
700,0.0050078724,Low Risk,No action required
701,0.9987431,Critical,Compliance team intervention
702,0.99440694,Critical,Compliance team intervention
703,0.99697125,Critical,Compliance team intervention
704,0.002086307,Low Risk,No action required
705,0.99814403,Critical,Compliance team intervention
